stock_code,category_code,year,quarter,data
FPT,IS_010,2022,0,44009527
FPT,IS_010,2023,0,52617900
FPT,IS_011,2021,0,22025298
FPT,IS_011,2022,0,26842249
FPT,IS_011,2023,0,32298347
FPT,IS_020,2021,0,13631964
FPT,IS_020,2022,0,17167278
FPT,IS_020,2023,0,20319553
FPT,IS_021,2021,0,1270789
FPT,IS_021,2022,0,1998503
FPT,IS_021,2023,0,2336069
FPT,IS_022,2021,0,1144187
FPT,IS_022,2022,0,1687369
FPT,IS_022,2023,0,1718298
FPT,IS_023,2021,0,483995
FPT,IS_023,2022,0,645725
FPT,IS_023,2023,0,832648
FPT,IS_024,2021,0,686864
FPT,IS_024,2022,0,483598
FPT,IS_024,2023,0,42347
FPT,IS_025,2021,0,3604610
FPT,IS_025,2022,0,4526440
FPT,IS_025,2023,0,5242551
FPT,IS_026,2021,0,4612325
FPT,IS_026,2022,0,5846280
FPT,IS_026,2023,0,6625373
FPT,IS_030,2021,0,6228494
FPT,IS_030,2022,0,7589289
FPT,IS_030,2023,0,9111745
FPT,IS_031,2021,0,133219
FPT,IS_031,2022,0,184323
FPT,IS_031,2023,0,200956
FPT,IS_032,2021,0,24506
FPT,IS_032,2022,0,111330
FPT,IS_032,2023,0,109695
FPT,IS_040,2021,0,108712
FPT,IS_040,2022,0,72993
FPT,IS_040,2023,0,91260
FPT,IS_050,2021,0,6337206
FPT,IS_050,2022,0,7662282
FPT,IS_050,2023,0,9203006
FPT,IS_051,2021,0,954883
FPT,IS_051,2022,0,1193613
FPT,IS_051,2023,0,1424017
FPT,IS_052,2021,0,33022
FPT,IS_052,2022,0,-22674
FPT,IS_052,2023,0,-9060
FPT,IS_060,2021,0,5349301
FPT,IS_060,2022,0,6491343
FPT,IS_060,2023,0,7788049
FPT,IS_061,2021,0,4337411
FPT,IS_061,2022,0,5310108
FPT,IS_061,2023,0,6465190
FPT,IS_062,2021,0,1011889
FPT,IS_062,2022,0,1181234
FPT,IS_062,2023,0,1322859
FPT,IS_070,2021,0,4349
FPT,IS_070,2022,0,4429
FPT,IS_070,2023,0,4661
FPT,IS_071,2021,0,4349
FPT,IS_071,2022,0,4429
FPT,IS_071,2023,0,4661
MSN,IS_001,2021,0,89791619
MSN,IS_001,2022,0,76380750
MSN,IS_001,2023,0,78516999
MSN,IS_002,2021,0,1162852
MSN,IS_002,2022,0,191525
MSN,IS_002,2023,0,265380
MSN,IS_010,2021,0,88628767
MSN,IS_010,2022,0,76189225
MSN,IS_010,2023,0,78251619
MSN,IS_011,2021,0,66493966
MSN,IS_011,2022,0,55154201
MSN,IS_011,2023,0,56130507
MSN,IS_020,2021,0,22134801
MSN,IS_020,2022,0,21035024
MSN,IS_020,2023,0,22121112
MSN,IS_021,2021,0,6799578
MSN,IS_021,2022,0,2575563
MSN,IS_021,2023,0,2405205
MSN,IS_022,2021,0,5706531
MSN,IS_022,2022,0,6361642
MSN,IS_022,2023,0,8129513
MSN,IS_023,2021,0,4669426
MSN,IS_023,2022,0,4847702
MSN,IS_023,2023,0,6946060
MSN,IS_024,2021,0,3896641
MSN,IS_024,2022,0,4339650
MSN,IS_024,2023,0,3895982
MSN,IS_025,2021,0,11786338
MSN,IS_025,2022,0,12511539
MSN,IS_025,2023,0,14192355
MSN,IS_026,2021,0,4064969
MSN,IS_026,2022,0,3854314
MSN,IS_026,2023,0,3750002
MSN,IS_030,2021,0,11273182
MSN,IS_030,2022,0,5222742
MSN,IS_030,2023,0,2350429
MSN,IS_031,2021,0,501150
MSN,IS_031,2022,0,279707
MSN,IS_031,2023,0,309976
MSN,IS_032,2021,0,285548
MSN,IS_032,2022,0,355299
MSN,IS_032,2023,0,97431
MSN,IS_040,2021,0,215602
MSN,IS_040,2022,0,-75592
MSN,IS_040,2023,0,212545
MSN,IS_050,2021,0,11488784
MSN,IS_050,2022,0,5147150
MSN,IS_050,2023,0,2562974
MSN,IS_051,2021,0,1499249
MSN,IS_051,2022,0,626750
MSN,IS_051,2023,0,1288786
MSN,IS_052,2021,0,-111846
MSN,IS_052,2022,0,-233984
MSN,IS_052,2023,0,-595739
MSN,IS_060,2021,0,10101381
