ticker,yearReport,lengthReport,category,data
HPG,2022,3,Business income tax - deferred,-336679438404.0
HPG,2022,3,Net Profit For the Year,-1785707380039.0
HPG,2022,3,Attributable to parent company,-1774133616408.0
HPG,2022,3,EPS_basis,0.0
HPG,2022,2,Minority Interest,0.0
HPG,2022,2,Net Profit/Loss before tax,4379340489328.0
HPG,2022,2,Provision for credit losses,593032893735.0
HPG,2022,2,Revenue YoY (%),0.06416483051656126
HPG,2022,2,Revenue (Bn. VND),37713759072663.0
HPG,2022,2,Attribute to parent company (Bn. VND),4032232311020.0
HPG,2022,2,Attribute to parent company YoY (%),-0.5852213051015597
HPG,2022,2,Financial Income,661960999623.0
HPG,2022,2,Interest Expenses,-717352725484.0
HPG,2022,2,Net Sales,37422054617017.0
HPG,2022,2,Gross Profit,6539622247077.0
HPG,2022,2,Financial Expenses,-2032730784240.0
HPG,2022,2,General & Admin Expenses,-118971733588.0
HPG,2022,2,Operating Profit/Loss,4312596514808.0
HPG,2022,2,Net income from associated companies,0.0
HPG,2022,2,Other Income/Expenses,-184444245606.0
HPG,2022,2,Cost of Sales,-30882432369940.0
HPG,2022,2,Selling Expenses,-737356533537.0
HPG,2022,2,Sales,37713759072663.0
HPG,2022,2,Sales deductions,-291704455646.0
HPG,2022,2,Gain/(loss) from joint ventures,72319473.0
HPG,2022,2,Other income,251188220126.0
HPG,2022,2,Net other income/expenses,66743974520.0
HPG,2022,2,Profit before tax,4379340489328.0
HPG,2022,2,Tax For the Year,-356767109462.0
HPG,2022,2,Business income tax - current,-316513449092.0
HPG,2022,2,Business income tax - deferred,-40253660370.0
HPG,2022,2,Net Profit For the Year,4022573379866.0
HPG,2022,2,Attributable to parent company,4032232311020.0
HPG,2022,2,EPS_basis,2001.0
HPG,2022,1,Minority Interest,0.0
HPG,2022,1,Net Profit/Loss before tax,8922103855907.0
HPG,2022,1,Provision for credit losses,-59950204308.0
HPG,2022,1,Revenue YoY (%),0.4115090025150797
HPG,2022,1,Revenue (Bn. VND),44404678868287.0
HPG,2022,1,Attribute to parent company (Bn. VND),8216960357730.0
HPG,2022,1,Attribute to parent company YoY (%),0.17762756886220366
HPG,2022,1,Financial Income,768925488108.0
HPG,2022,1,Interest Expenses,-596932887294.0
HPG,2022,1,Net Sales,44058146671026.0
HPG,2022,1,Gross Profit,10108326381223.0
HPG,2022,1,Financial Expenses,-1111142568904.0
HPG,2022,1,General & Admin Expenses,-263579264674.0
HPG,2022,1,Operating Profit/Loss,8924403779643.0
HPG,2022,1,Net income from associated companies,0.0
HPG,2022,1,Other Income/Expenses,-194852967124.0
HPG,2022,1,Cost of Sales,-33949820289803.0
HPG,2022,1,Selling Expenses,-576981269053.0
HPG,2022,1,Sales,44404678868287.0
HPG,2022,1,Sales deductions,-346532197261.0
HPG,2022,1,Gain/(loss) from joint ventures,-1144987057.0
HPG,2022,1,Other income,192553043388.0
HPG,2022,1,Net other income/expenses,-2299923736.0
HPG,2022,1,Profit before tax,8922103855907.0
HPG,2022,1,Tax For the Year,-715773499084.0
HPG,2022,1,Business income tax - current,-567893829684.0
HPG,2022,1,Business income tax - deferred,-147879669400.0
HPG,2022,1,Net Profit For the Year,8206330356823.0
HPG,2022,1,Attributable to parent company,8216960357730.0
HPG,2022,1,EPS_basis,0.0
HPG,2021,4,Minority Interest,0.0
HPG,2021,4,Net Profit/Loss before tax,8038356261876.0
HPG,2021,4,Provision for credit losses,187032358552.0
HPG,2021,4,Revenue YoY (%),0.7216827261342791
HPG,2021,4,Revenue (Bn. VND),45048125720816.0
HPG,2021,4,Attribute to parent company (Bn. VND),7427443249985.0
HPG,2021,4,Attribute to parent company YoY (%),0.6014825634101592
