stock_code,category_code,year,quarter,data
OCB,IS_018,2016,0,96956
OCB,IS_018,2017,0,205082
OCB,IS_018,2018,0,440830
OCB,IS_018,2019,0,648887
OCB,IS_019,2020,0,0
OCB,IS_019,2021,0,0
OCB,IS_019,2022,0,0
OCB,IS_019,2023,0,0
OCB,IS_019,2016,0,0
OCB,IS_019,2017,0,0
OCB,IS_019,2018,0,0
OCB,IS_019,2019,0,0
OCB,IS_002,2020,0,5811686
OCB,IS_002,2021,0,5954516
OCB,IS_002,2022,0,7120149
OCB,IS_002,2023,0,11361222
OCB,IS_002,2016,0,2379925
OCB,IS_002,2017,0,3211564
OCB,IS_002,2018,0,4221019
OCB,IS_002,2019,0,5537196
OCB,IS_020,2020,0,0
OCB,IS_020,2021,0,0
OCB,IS_020,2022,0,0
OCB,IS_020,2023,0,836173
OCB,IS_020,2016,0,0
OCB,IS_020,2017,0,0
OCB,IS_020,2018,0,0
OCB,IS_020,2019,0,0
OCB,IS_021,2020,0,3534772
OCB,IS_021,2021,0,4404958
OCB,IS_021,2022,0,3509717
OCB,IS_021,2023,0,3303302
OCB,IS_021,2016,0,386915
OCB,IS_021,2017,0,816823
OCB,IS_021,2018,0,1761031
OCB,IS_021,2019,0,2582236
OCB,IS_022,2020,0,0
OCB,IS_022,2021,0,0
OCB,IS_022,2022,0,0
OCB,IS_022,2023,0,0
OCB,IS_022,2016,0,0
OCB,IS_022,2017,0,0
OCB,IS_022,2018,0,0
OCB,IS_022,2019,0,0
OCB,IS_023,2020,0,3363
OCB,IS_023,2021,0,3188
OCB,IS_023,2022,0,2540
OCB,IS_023,2023,0,1594
OCB,IS_023,2016,0,1002
OCB,IS_023,2017,0,1972
OCB,IS_023,2018,0,2938
OCB,IS_023,2019,0,3264
OCB,IS_003,2020,0,4981711
OCB,IS_003,2021,0,5765584
OCB,IS_003,2022,0,6947583
OCB,IS_003,2023,0,6765518
OCB,IS_003,2016,0,1660680
OCB,IS_003,2017,0,2401143
OCB,IS_003,2018,0,3435969
OCB,IS_003,2019,0,4114760
OCB,IS_004,2020,0,919453
OCB,IS_004,2021,0,867740
OCB,IS_004,2022,0,1124580
OCB,IS_004,2023,0,997503
OCB,IS_004,2016,0,132311
OCB,IS_004,2017,0,237514
OCB,IS_004,2018,0,388091
OCB,IS_004,2019,0,617398
OCB,IS_005,2020,0,78892
OCB,IS_005,2021,0,83239
OCB,IS_005,2022,0,110406
OCB,IS_005,2023,0,115440
OCB,IS_005,2016,0,34799
OCB,IS_005,2017,0,41894
OCB,IS_005,2018,0,50329
OCB,IS_005,2019,0,71601
OCB,IS_006,2020,0,840561
OCB,IS_006,2021,0,784500
OCB,IS_006,2022,0,1014174
OCB,IS_006,2023,0,882062
OCB,IS_006,2016,0,97511
OCB,IS_006,2017,0,195619
OCB,IS_006,2018,0,337762
OCB,IS_006,2019,0,545796
OCB,IS_007,2020,0,94975
OCB,IS_007,2021,0,99732
OCB,IS_007,2022,0,145113
OCB,IS_007,2023,0,389064
OCB,IS_007,2016,0,-3005
OCB,IS_007,2017,0,46999
OCB,IS_007,2018,0,83519
OCB,IS_007,2019,0,114400
OCB,IS_008,2020,0,130768
OCB,IS_008,2021,0,123818
OCB,IS_008,2022,0,-77265
OCB,IS_008,2023,0,1496
OCB,IS_008,2016,0,0
OCB,IS_008,2017,0,14777
OCB,IS_008,2018,0,24327
OCB,IS_008,2019,0,20488
OCB,IS_009,2020,0,1751950
OCB,IS_009,2021,0,1744618
OCB,IS_009,2022,0,-140196
OCB,IS_009,2023,0,646561
OCB,IS_009,2016,0,-261
OCB,IS_009,2017,0,48694
OCB,IS_009,2018,0,951125
OCB,IS_009,2019,0,1093550
CTG,IS_001,2020,0,83677717
CTG,IS_001,2021,0,84628302
CTG,IS_001,2022,0,104664634
CTG,IS_001,2023,0,132671737
CTG,IS_001,2016,0,52990698
CTG,IS_001,2017,0,65277199
CTG,IS_001,2018,0,74176120
CTG,IS_001,2019,0,82742771
CTG,IS_010,2020,0,2694931
CTG,IS_010,2021,0,4516269
CTG,IS_010,2022,0,7506525
CTG,IS_010,2023,0,7080218
CTG,IS_010,2016,0,2595010
CTG,IS_010,2017,0,3233912
CTG,IS_010,2018,0,2903224
CTG,IS_010,2019,0,2357430
CTG,IS_011,2020,0,785226
CTG,IS_011,2021,0,1118203
CTG,IS_011,2022,0,969157
CTG,IS_011,2023,0,1277142
CTG,IS_011,2016,0,1290509
CTG,IS_011,2017,0,1240047
CTG,IS_011,2018,0,1024814
CTG,IS_011,2019,0,859995
CTG,IS_012,2020,0,1909705
CTG,IS_012,2021,0,3398066
CTG,IS_012,2022,0,6537368
CTG,IS_012,2023,0,5803076
CTG,IS_012,2016,0,1304501
CTG,IS_012,2017,0,1993865
CTG,IS_012,2018,0,1878410
CTG,IS_012,2019,0,1497435
CTG,IS_013,2020,0,524038
CTG,IS_013,2021,0,477382
CTG,IS_013,2022,0,512244
CTG,IS_013,2023,0,287268
CTG,IS_013,2016,0,146759
CTG,IS_013,2017,0,743046
CTG,IS_013,2018,0,374238
CTG,IS_013,2019,0,628400
CTG,IS_014,2020,0,16085348
CTG,IS_014,2021,0,17185850
CTG,IS_014,2022,0,19007454
CTG,IS_014,2023,0,20443499
CTG,IS_014,2016,0,12901657
CTG,IS_014,2017,0,15068771
CTG,IS_014,2018,0,14256251
CTG,IS_014,2019,0,15734862
CTG,IS_015,2020,0,29232086
CTG,IS_015,2021,0,35970782
CTG,IS_015,2022,0,45109236
CTG,IS_015,2023,0,50104666
CTG,IS_015,2016,0,13552123
CTG,IS_015,2017,0,17550081
CTG,IS_015,2018,0,14481675
CTG,IS_015,2019,0,24784524
CTG,IS_016,2020,0,12147237
CTG,IS_016,2021,0,18381626
CTG,IS_016,2022,0,24163177
CTG,IS_016,2023,0,25115141
CTG,IS_016,2016,0,5022104
CTG,IS_016,2017,0,8344095
CTG,IS_016,2018,0,7751273
CTG,IS_016,2019,0,13003531
CTG,IS_017,2020,0,17084849
CTG,IS_017,2021,0,17589156
CTG,IS_017,2022,0,20946059
CTG,IS_017,2023,0,24989525
CTG,IS_017,2016,0,8530019
CTG,IS_017,2017,0,9205986
CTG,IS_017,2018,0,6730402
CTG,IS_017,2019,0,11780993
CTG,IS_018,2020,0,3315063
CTG,IS_018,2021,0,3412160
CTG,IS_018,2022,0,4110614
CTG,IS_018,2023,0,4944844
CTG,IS_018,2016,0,1704597
CTG,IS_018,2017,0,1746847
CTG,IS_018,2018,0,1305164
CTG,IS_018,2019,0,2286552
CTG,IS_019,2020,0,12552
CTG,IS_019,2021,0,-38346
CTG,IS_019,2022,0,451
CTG,IS_019,2023,0,59
CTG,IS_019,2016,0,-289
CTG,IS_019,2017,0,240
CTG,IS_019,2018,0,8809
CTG,IS_019,2019,0,17452
CTG,IS_002,2020,0,48096888
CTG,IS_002,2021,0,42839837
CTG,IS_002,2022,0,56872679
CTG,IS_002,2023,0,79714259
CTG,IS_002,2016,0,30585706
CTG,IS_002,2017,0,38204212
CTG,IS_002,2018,0,51658034
CTG,IS_002,2019,0,49543734
CTG,IS_020,2020,0,0
CTG,IS_020,2021,0,0
CTG,IS_020,2022,0,0
CTG,IS_020,2023,0,4944903
CTG,IS_020,2016,0,0
CTG,IS_020,2017,0,0
CTG,IS_020,2018,0,0
CTG,IS_020,2019,0,0
CTG,IS_021,2020,0,13757234
CTG,IS_021,2021,0,14215342
CTG,IS_021,2022,0,16834994
CTG,IS_021,2023,0,20044622
CTG,IS_021,2016,0,6825422
CTG,IS_021,2017,0,7458899
CTG,IS_021,2018,0,5416429
CTG,IS_021,2019,0,9476989
CTG,IS_022,2020,0,63646
CTG,IS_022,2021,0,126582
CTG,IS_022,2022,0,59920
CTG,IS_022,2023,0,141072
CTG,IS_022,2016,0,19984
CTG,IS_022,2017,0,26542
CTG,IS_022,2018,0,2480
CTG,IS_022,2019,0,15722
CTG,IS_023,2020,0,3678
CTG,IS_023,2021,0,3347
CTG,IS_023,2022,0,3491
CTG,IS_023,2023,0,3706
CTG,IS_023,2016,0,1
CTG,IS_023,2017,0,1546
CTG,IS_023,2018,0,1454
CTG,IS_023,2019,0,2044
CTG,IS_003,2020,0,35580829
CTG,IS_003,2021,0,41788465
CTG,IS_003,2022,0,47791955
CTG,IS_003,2023,0,52957478
CTG,IS_003,2016,0,22404992
CTG,IS_003,2017,0,27072987
CTG,IS_003,2018,0,22518086
CTG,IS_003,2019,0,33199037
CTG,IS_004,2020,0,8342502
CTG,IS_004,2021,0,9572678
CTG,IS_004,2022,0,11549069
CTG,IS_004,2023,0,12384836
CTG,IS_004,2016,0,3341573
CTG,IS_004,2017,0,4302331
CTG,IS_004,2018,0,5954421
CTG,IS_004,2019,0,7888130
CTG,IS_005,2020,0,4001586
CTG,IS_005,2021,0,4612172
CTG,IS_005,2022,0,5687120
CTG,IS_005,2023,0,5271107
CTG,IS_005,2016,0,1654163
CTG,IS_005,2017,0,2447142
CTG,IS_005,2018,0,3186894
CTG,IS_005,2019,0,3832752
CTG,IS_006,2020,0,4340916
CTG,IS_006,2021,0,4960506
CTG,IS_006,2022,0,5861949
CTG,IS_006,2023,0,7113729
CTG,IS_006,2016,0,1687410
CTG,IS_006,2017,0,1855189
CTG,IS_006,2018,0,2767527
CTG,IS_006,2019,0,4055378
CTG,IS_007,2020,0,1999721
CTG,IS_007,2021,0,1812484
CTG,IS_007,2022,0,3555521
CTG,IS_007,2023,0,4248109
CTG,IS_007,2016,0,685139
CTG,IS_007,2017,0,709966
CTG,IS_007,2018,0,709869
CTG,IS_007,2019,0,1564300
CTG,IS_008,2020,0,601275
CTG,IS_008,2021,0,495864
CTG,IS_008,2022,0,-112163
CTG,IS_008,2023,0,292626
CTG,IS_008,2016,0,183919
CTG,IS_008,2017,0,369517
CTG,IS_008,2018,0,271475
CTG,IS_008,2019,0,365564
CTG,IS_009,2020,0,360950
CTG,IS_009,2021,0,223865
CTG,IS_009,2022,0,-30184
CTG,IS_009,2023,0,-154121
CTG,IS_009,2016,0,41060
CTG,IS_009,2017,0,-125718
CTG,IS_009,2018,0,218321
CTG,IS_009,2019,0,-790728
VCB,IS_001,2020,0,69205134
VCB,IS_001,2021,0,70749002
VCB,IS_001,2022,0,88112700
VCB,IS_001,2023,0,108122278
VCB,IS_001,2016,0,37713172
VCB,IS_001,2017,0,46158768
VCB,IS_001,2018,0,55863951
VCB,IS_001,2019,0,67724190
VCB,IS_010,2020,0,2544714
VCB,IS_010,2021,0,3100370
VCB,IS_010,2022,0,2928339
VCB,IS_010,2023,0,4050144
VCB,IS_010,2016,0,2293539
VCB,IS_010,2017,0,2355832
VCB,IS_010,2018,0,3515904
VCB,IS_010,2019,0,3427765
VCB,IS_011,2020,0,744461
VCB,IS_011,2021,0,707109
VCB,IS_011,2022,0,874378
VCB,IS_011,2023,0,1777975
VCB,IS_011,2016,0,376349
VCB,IS_011,2017,0,256298
VCB,IS_011,2018,0,281539
VCB,IS_011,2019,0,357970
VCB,IS_012,2020,0,1800253
VCB,IS_012,2021,0,2393261
VCB,IS_012,2022,0,2053961
VCB,IS_012,2023,0,2272169
VCB,IS_012,2016,0,1917190
VCB,IS_012,2017,0,2099534
VCB,IS_012,2018,0,3234365
VCB,IS_012,2019,0,3069795
VCB,IS_013,2020,0,461385
VCB,IS_013,2021,0,129810
VCB,IS_013,2022,0,208436
VCB,IS_013,2023,0,266456
VCB,IS_013,2016,0,71556
VCB,IS_013,2017,0,325767
VCB,IS_013,2018,0,1716169
VCB,IS_013,2019,0,245096
VCB,IS_014,2020,0,16038250
VCB,IS_014,2021,0,17574188
VCB,IS_014,2022,0,21250512
VCB,IS_014,2023,0,21914899
VCB,IS_014,2016,0,9950443
VCB,IS_014,2017,0,11867536
VCB,IS_014,2018,0,13611094
VCB,IS_014,2019,0,15817575
VCB,IS_015,2020,0,33024291
VCB,IS_015,2021,0,39149381
VCB,IS_015,2022,0,46832309
VCB,IS_015,2023,0,45808563
VCB,IS_015,2016,0,14929189
VCB,IS_015,2017,0,17535516
VCB,IS_015,2018,0,25667339
VCB,IS_015,2019,0,29912806
VCB,IS_016,2020,0,9974730
VCB,IS_016,2021,0,11760801
VCB,IS_016,2022,0,9464218
VCB,IS_016,2023,0,4564876
VCB,IS_016,2016,0,6406106
VCB,IS_016,2017,0,6198415
VCB,IS_016,2018,0,7398113
VCB,IS_016,2019,0,6790429
VCB,IS_017,2020,0,23049561
VCB,IS_017,2021,0,27388580
VCB,IS_017,2022,0,37368091
VCB,IS_017,2023,0,41243687
VCB,IS_017,2016,0,8523083
VCB,IS_017,2017,0,11337101
VCB,IS_017,2018,0,18269226
VCB,IS_017,2019,0,23122377
VCB,IS_018,2020,0,5081068
VCB,IS_018,2021,0,4547363
VCB,IS_018,2022,0,8406860
VCB,IS_018,2023,0,8079401
VCB,IS_018,2016,0,1672082
VCB,IS_018,2017,0,2233808
VCB,IS_018,2018,0,3648356
VCB,IS_018,2019,0,4992464
VCB,IS_019,2020,0,-504025
VCB,IS_019,2021,0,902172
VCB,IS_019,2022,0,-957823
VCB,IS_019,2023,0,109838
VCB,IS_019,2016,0,0
VCB,IS_019,2017,0,-3605
VCB,IS_019,2018,0,-1192
VCB,IS_019,2019,0,-396075
VCB,IS_002,2020,0,32919659
VCB,IS_002,2021,0,28349385
VCB,IS_002,2022,0,34866222
VCB,IS_002,2023,0,54501409
VCB,IS_002,2016,0,19185461
VCB,IS_002,2017,0,24221223
VCB,IS_002,2018,0,27455435
VCB,IS_002,2019,0,33146840
VCB,IS_020,2020,0,0
VCB,IS_020,2021,0,0
VCB,IS_020,2022,0,0
VCB,IS_020,2023,0,8189239
VCB,IS_020,2016,0,0
VCB,IS_020,2017,0,0
VCB,IS_020,2018,0,0
VCB,IS_020,2019,0,0
VCB,IS_021,2020,0,18472518
VCB,IS_021,2021,0,21939045
VCB,IS_021,2022,0,29919054
VCB,IS_021,2023,0,33054448
VCB,IS_021,2016,0,6851001
VCB,IS_021,2017,0,9106898
VCB,IS_021,2018,0,14622062
VCB,IS_021,2019,0,18525988
VCB,IS_022,2020,0,21207
VCB,IS_022,2021,0,20232
VCB,IS_022,2022,0,20040
VCB,IS_022,2023,0,-21245
VCB,IS_022,2016,0,19276
VCB,IS_022,2017,0,19522
VCB,IS_022,2018,0,16484
VCB,IS_022,2019,0,15090
