stock_code,category_code,year,quarter,data,date_added
EIB,IS_015,2019,0,1785540.0,2019-12-30
EIB,IS_016,2020,0,667377.0,2020-12-30
EIB,IS_016,2021,0,990124.0,2021-12-30
EIB,IS_016,2022,0,103590.0,2022-12-30
EIB,IS_016,2023,0,694399.0,2023-12-30
EIB,IS_016,2016,0,1089066.0,2016-12-30
EIB,IS_016,2017,0,604576.0,2017-12-30
EIB,IS_016,2018,0,723546.0,2018-12-30
EIB,IS_016,2019,0,690291.0,2019-12-30
EIB,IS_017,2020,0,1339526.0,2020-12-30
EIB,IS_017,2021,0,1205066.0,2021-12-30
EIB,IS_017,2022,0,3709066.0,2022-12-30
EIB,IS_017,2023,0,2719626.0,2023-12-30
EIB,IS_017,2016,0,390630.0,2016-12-30
EIB,IS_017,2017,0,1017579.0,2017-12-30
EIB,IS_017,2018,0,827128.0,2018-12-30
EIB,IS_017,2019,0,1095249.0,2019-12-30
EIB,IS_018,2020,0,314846.0,2020-12-30
EIB,IS_018,2021,0,203673.0,2021-12-30
EIB,IS_018,2022,0,774317.0,2022-12-30
EIB,IS_018,2023,0,554528.0,2023-12-30
EIB,IS_018,2016,0,81698.0,2016-12-30
EIB,IS_018,2017,0,194749.0,2017-12-30
EIB,IS_018,2018,0,166538.0,2018-12-30
EIB,IS_018,2019,0,229117.0,2019-12-30
EIB,IS_019,2020,0,-45501.0,2020-12-30
EIB,IS_019,2021,0,35956.0,2021-12-30
EIB,IS_019,2022,0,-11003.0,2022-12-30
EIB,IS_019,2023,0,-1.0,2023-12-30
EIB,IS_019,2016,0,0.0,2016-12-30
EIB,IS_019,2017,0,0.0,2017-12-30
EIB,IS_019,2018,0,0.0,2018-12-30
EIB,IS_019,2019,0,0.0,2019-12-30
EIB,IS_002,2020,0,7505157.0,2020-12-30
EIB,IS_002,2021,0,6560189.0,2021-12-30
EIB,IS_002,2022,0,6578208.0,2022-12-30
EIB,IS_002,2023,0,10102088.0,2023-12-30
EIB,IS_002,2016,0,5228494.0,2016-12-30
EIB,IS_002,2017,0,6282831.0,2017-12-30
EIB,IS_002,2018,0,6826598.0,2018-12-30
EIB,IS_002,2019,0,8085390.0,2019-12-30
EIB,IS_020,2020,0,0.0,2020-12-30
EIB,IS_020,2021,0,0.0,2021-12-30
EIB,IS_020,2022,0,0.0,2022-12-30
EIB,IS_020,2023,0,554527.0,2023-12-30
EIB,IS_020,2016,0,0.0,2016-12-30
EIB,IS_020,2017,0,0.0,2017-12-30
EIB,IS_020,2018,0,0.0,2018-12-30
EIB,IS_020,2019,0,0.0,2019-12-30
EIB,IS_021,2020,0,1070181.0,2020-12-30
EIB,IS_021,2021,0,965437.0,2021-12-30
EIB,IS_021,2022,0,2945752.0,2022-12-30
EIB,IS_021,2023,0,2165099.0,2023-12-30
EIB,IS_021,2016,0,308932.0,2016-12-30
EIB,IS_021,2017,0,822830.0,2017-12-30
EIB,IS_021,2018,0,660590.0,2018-12-30
EIB,IS_021,2019,0,866132.0,2019-12-30
EIB,IS_022,2020,0,0.0,2020-12-30
EIB,IS_022,2021,0,0.0,2021-12-30
EIB,IS_022,2022,0,0.0,2022-12-30
EIB,IS_022,2023,0,0.0,2023-12-30
EIB,IS_022,2016,0,0.0,2016-12-30
EIB,IS_022,2017,0,0.0,2017-12-30
EIB,IS_022,2018,0,0.0,2018-12-30
EIB,IS_022,2019,0,0.0,2019-12-30
EIB,IS_023,2020,0,870.0,2020-12-30
EIB,IS_023,2021,0,785.0,2021-12-30
EIB,IS_023,2022,0,2396.0,2022-12-30
EIB,IS_023,2023,0,1244.0,2023-12-30
EIB,IS_023,2016,0,251.0,2016-12-30
EIB,IS_023,2017,0,669.0,2017-12-30
